Kode,Nama,Sektor,Syariah
BTON,Betonjaya Manunggal Tbk.,Basic Materials,False
BTPN,Bank SMBC Indonesia Tbk.,Financials,False
BUDI,Budi Starch & Sweetener Tbk.,Consumer Non-Cyclicals,True
BUKK,Bukaka Teknik Utama Tbk.,Infrastructures,True
BULL,Buana Lintas Lautan Tbk.,Energy,True
BUMI,Bumi Resources Tbk.,Energy,True
BUVA,Bukit Uluwatu Villa Tbk.,Consumer Cyclicals,True
BVIC,Bank Victoria International Tb,Financials,False
BWPT,Eagle High Plantations Tbk.,Consumer Non-Cyclicals,True
BYAN,Bayan Resources Tbk.,Energy,True
CANI,Capitol Nusantara Indonesia Tb,Energy,True
CASS,Cahaya Aero Services Tbk.,Infrastructures,True
CEKA,Wilmar Cahaya Indonesia Tbk.,Consumer Non-Cyclicals,True
CENT,Centratama Telekomunikasi Indo,Infrastructures,False
CFIN,Clipan Finance Indonesia Tbk.,Financials,False
CINT,Chitose Internasional Tbk.,Consumer Cyclicals,True
CITA,Cita Mineral Investindo Tbk.,Basic Materials,True
CLPI,Colorpak Indonesia Tbk.,Basic Materials,True
CMNP,Citra Marga Nusaphala Persada ,Infrastructures,True
CMPP,AirAsia Indonesia Tbk.,Transportation & Logistic,True
CNKO,Exploitasi Energi Indonesia Tb,Energy,True
COWL,Cowell Development Tbk.,Properties & Real Estate,False
CPIN,Charoen Pokphand Indonesia Tbk,Consumer Non-Cyclicals,True
CPRO,Central Proteina Prima Tbk.,Consumer Non-Cyclicals,True
CSAP,Catur Sentosa Adiprana Tbk.,Consumer Cyclicals,True
CTBN,Citra Tubindo Tbk.,Basic Materials,True
CTRA,Ciputra Development Tbk.,Properties & Real Estate,True
CTTH,Citatah Tbk.,Industrials,False
DART,Duta Anggada Realty Tbk.,Properties & Real Estate,False
DEFI,Danasupra Erapacific Tbk.,Financials,True
DEWA,Darma Henwa Tbk,Energy,True
DGIK,Nusa Konstruksi Enjiniring Tbk,Infrastructures,True
DILD,Intiland Development Tbk.,Properties & Real Estate,True
DKFT,Central Omega Resources Tbk.,Basic Materials,True
DLTA,Delta Djakarta Tbk.,Consumer Non-Cyclicals,False
DMAS,Puradelta Lestari Tbk.,Properties & Real Estate,True
DNAR,Bank Oke Indonesia Tbk.,Financials,False
DNET,Indoritel Makmur Internasional,Financials,False
DOID,BUMA Internasional Grup Tbk.,Energy,False
DPNS,Duta Pertiwi Nusantara Tbk.,Basic Materials,False
DSFI,Dharma Samudera Fishing Indust,Consumer Non-Cyclicals,True
DSNG,Dharma Satya Nusantara Tbk.,Consumer Non-Cyclicals,True
DSSA,Dian Swastatika Sentosa Tbk,Energy,True
DUTI,Duta Pertiwi Tbk,Properties & Real Estate,True
DVLA,Darya-Varia Laboratoria Tbk.,Healthcare,True
DYAN,Dyandra Media International Tb,Industrials,True
ECII,Electronic City Indonesia Tbk.,Consumer Cyclicals,True
EKAD,Ekadharma International Tbk.,Basic Materials,True
ELSA,Elnusa Tbk.,Energy,True
ELTY,Bakrieland Development Tbk.,Properties & Real Estate,True
EMDE,Megapolitan Developments Tbk.,Properties & Real Estate,True
