Kode,Nama,Sektor,Syariah
VOKS,Voksel Electric Tbk.,Industrials,True
VRNA,Mizuho Leasing Indonesia Tbk.,Financials,False
WAPO,Wahana Pronatural Tbk.,Consumer Non-Cyclicals,True
WEHA,WEHA Transportasi Indonesia Tb,Transportation & Logistic,True
WICO,Wicaksana Overseas Internation,Consumer Non-Cyclicals,False
WIIM,Wismilak Inti Makmur Tbk.,Consumer Non-Cyclicals,False
WIKA,Wijaya Karya (Persero) Tbk.,Infrastructures,False
WINS,Wintermar Offshore Marine Tbk.,Energy,True
WOMF,Wahana Ottomitra Multiartha Tb,Financials,False
WSKT,Waskita Karya (Persero) Tbk.,Infrastructures,False
WTON,Wijaya Karya Beton Tbk.,Basic Materials,True
YPAS,Yanaprima Hastapersada Tbk,Basic Materials,True
YULE,Yulie Sekuritas Indonesia Tbk.,Financials,False
ZBRA,Dosni Roha Indonesia Tbk.,Industrials,False
SHIP,Sillo Maritime Perdana Tbk.,Energy,True
CASA,Capital Financial Indonesia Tb,Financials,False
DAYA,Duta Intidaya Tbk.,Consumer Non-Cyclicals,True
DPUM,Dua Putra Utama Makmur Tbk.,Consumer Non-Cyclicals,False
IDPR,Indonesia Pondasi Raya Tbk.,Infrastructures,True
JGLE,Graha Andrasentra Propertindo ,Consumer Cyclicals,True
KINO,Kino Indonesia Tbk.,Consumer Non-Cyclicals,True
MARI,Mahaka Radio Integra Tbk.,Consumer Cyclicals,False
MKNT,Mitra Komunikasi Nusantara Tbk,Consumer Cyclicals,True
MTRA,Mitra Pemuda Tbk.,Infrastructures,False
OASA,Maharaksa Biru Energi Tbk.,Infrastructures,True
POWR,Cikarang Listrindo Tbk.,Infrastructures,True
INCF,Indo Komoditi Korpora Tbk.,Basic Materials,False
WSBP,Waskita Beton Precast Tbk.,Basic Materials,False
PBSA,Paramita Bangun Sarana Tbk.,Infrastructures,True
PRDA,Prodia Widyahusada Tbk.,Healthcare,True
BOGA,Apollo Global Interactive Tbk.,Consumer Cyclicals,True
BRIS,Bank Syariah Indonesia (Perser,Financials,True
PORT,Nusantara Pelabuhan Handal Tbk,Infrastructures,True
CARS,Industri dan Perdagangan Bintr,Consumer Cyclicals,False
MINA,Sanurhasta Mitra Tbk.,Consumer Cyclicals,True
CLEO,Sariguna Primatirta Tbk.,Consumer Non-Cyclicals,True
TAMU,Pelayaran Tamarin Samudra Tbk.,Energy,True
CSIS,Cahayasakti Investindo Sukses ,Properties & Real Estate,True
TGRA,Terregra Asia Energy Tbk.,Infrastructures,False
FIRE,Alfa Energi Investama Tbk.,Energy,True
TOPS,Totalindo Eka Persada Tbk.,Infrastructures,False
KMTR,Kirana Megatara Tbk.,Basic Materials,False
ARMY,Armidian Karyatama Tbk.,Properties & Real Estate,False
MAPB,MAP Boga Adiperkasa Tbk.,Consumer Cyclicals,True
WOOD,Integra Indocabinet Tbk.,Consumer Cyclicals,True
HRTA,Hartadinata Abadi Tbk.,Consumer Cyclicals,True
MABA,Marga Abhinaya Abadi Tbk.,Consumer Cyclicals,False
HOKI,Buyung Poetra Sembada Tbk.,Consumer Non-Cyclicals,True
MPOW,Megapower Makmur Tbk.,Infrastructures,True
MARK,Mark Dynamics Indonesia Tbk.,Industrials,True
NASA,Andalan Perkasa Abadi Tbk.,Properties & Real Estate,True
MDKI,Emdeki Utama Tbk.,Basic Materials,True
BELL,Trisula Textile Industries Tbk,Consumer Cyclicals,True
KIOS,Kioson Komersial Indonesia Tbk,Technology,True
GMFI,Garuda Maintenance Facility Ae,Infrastructures,False
MTWI,Malacca Trust Wuwungan Insuran,Financials,False
ZINC,Kapuas Prima Coal Tbk.,Basic Materials,False
MCAS,M Cash Integrasi Tbk.,Technology,True
PPRE,PP Presisi Tbk.,Infrastructures,True
WEGE,Wijaya Karya Bangunan Gedung T,Infrastructures,True
PSSI,IMC Pelita Logistik Tbk.,Energy,True
MORA,Ekamas Mora Republik Tbk.,Infrastructures,True
DWGL,Dwi Guna Laksana Tbk.,Energy,True
PBID,Panca Budi Idaman Tbk.,Basic Materials,True
JMAS,Asuransi Jiwa Syariah Jasa Mit,Financials,True
CAMP,Campina Ice Cream Industry Tbk,Consumer Non-Cyclicals,True
IPCM,Jasa Armada Indonesia Tbk.,Infrastructures,True
PCAR,Prima Cakrawala Abadi Tbk.,Consumer Non-Cyclicals,True
LCKM,LCK Global Kedaton Tbk.,Infrastructures,True
BOSS,Borneo Olah Sarana Sukses Tbk.,Energy,False
HELI,Jaya Trishindo Tbk.,Transportation & Logistic,True
JSKY,Sky Energy Indonesia Tbk.,Energy,False
INPS,Indah Prakasa Sentosa Tbk.,Energy,False
GHON,Gihon Telekomunikasi Indonesia,Infrastructures,True
TDPM,Tianrong Chemicals Industry Tb,Basic Materials,False
DFAM,Dafam Property Indonesia Tbk.,Consumer Cyclicals,False
NICK,Charnic Capital Tbk.,Financials,False
BTPS,Bank BTPN Syariah Tbk.,Financials,True
SPTO,Surya Pertiwi Tbk.,Industrials,True
PRIM,Royal Prima Tbk.,Healthcare,True
HEAL,Medikaloka Hermina Tbk.,Healthcare,True
TRUK,Guna Timur Raya Tbk.,Transportation & Logistic,True
PZZA,Sarimelati Kencana Tbk.,Consumer Cyclicals,True
TUGU,Asuransi Tugu Pratama Indonesi,Financials,False
MSIN,MNC Digital Entertainment Tbk.,Consumer Cyclicals,True
SWAT,Sriwahana Adityakarta Tbk.,Basic Materials,False
TNCA,Trimuda Nuansa Citra Tbk.,Transportation & Logistic,True
MAPA,Map Aktif Adiperkasa Tbk.,Consumer Cyclicals,True
TCPI,Transcoal Pacific Tbk.,Energy,True
IPCC,Indonesia Kendaraan Terminal T,Infrastructures,True
RISE,Jaya Sukses Makmur Sentosa Tbk,Properties & Real Estate,True
BPTR,Batavia Prosperindo Trans Tbk.,Transportation & Logistic,False
POLL,Pollux Properties Indonesia Tb,Properties & Real Estate,False
NFCX,NFC Indonesia Tbk.,Technology,True
MGRO,Mahkota Group Tbk.,Consumer Non-Cyclicals,False
NUSA,Sinergi Megah Internusa Tbk.,Consumer Cyclicals,False
FILM,MD Entertainment Tbk.,Consumer Cyclicals,True
ANDI,Andira Agro Tbk.,Consumer Non-Cyclicals,True
LAND,Trimitra Propertindo Tbk.,Properties & Real Estate,True
MOLI,Madusari Murni Indah Tbk.,Basic Materials,False
PANI,Pantai Indah Kapuk Dua Tbk.,Properties & Real Estate,True
DIGI,Arkadia Digital Media Tbk.,Consumer Cyclicals,False
CITY,Natura City Developments Tbk.,Properties & Real Estate,True
SAPX,Satria Antaran Prima Tbk.,Transportation & Logistic,True
SURE,Super Energy Tbk.,Energy,False
HKMU,HK Metals Utama Tbk.,Basic Materials,False
MPRO,Maha Properti Indonesia Tbk.,Properties & Real Estate,True
DUCK,Jaya Bersama Indo Tbk.,Consumer Cyclicals,False
GOOD,Garudafood Putra Putri Jaya Tb,Consumer Non-Cyclicals,True
SKRN,Superkrane Mitra Utama Tbk.,Industrials,True
YELO,Yelooo Integra Datanet Tbk.,Consumer Cyclicals,True
CAKK,Cahayaputra Asa Keramik Tbk.,Industrials,True
SATU,Kota Satu Properti Tbk.,Properties & Real Estate,True
SOSS,ALSOK Indonesia Services Tbk.,Industrials,True
DEAL,Dewata Freightinternational Tb,Transportation & Logistic,False
POLA,Pool Advista Finance Tbk.,Financials,False
DIVA,Distribusi Voucher Nusantara T,Technology,True
LUCK,Sentral Mitra Informatika Tbk.,Technology,True
URBN,Urban Jakarta Propertindo Tbk.,Properties & Real Estate,True
SOTS,Satria Mega Kencana Tbk.,Consumer Cyclicals,True
ZONE,Mega Perintis Tbk.,Consumer Cyclicals,True
PEHA,Phapros Tbk.,Healthcare,True
FOOD,Sentra Food Indonesia Tbk.,Consumer Non-Cyclicals,True
BEEF,Estika Tata Tiara Tbk.,Consumer Non-Cyclicals,True
POLI,Pollux Hotels Group Tbk.,Properties & Real Estate,True
CLAY,Citra Putra Realty Tbk.,Consumer Cyclicals,False
NATO,Olympus Strategic Indonesia Tb,Consumer Cyclicals,False
JAYA,Armada Berjaya Trans Tbk.,Transportation & Logistic,True
COCO,Wahana Interfood Nusantara Tbk,Consumer Non-Cyclicals,False
MTPS,Meta Epsi Tbk.,Infrastructures,True
CPRI,Capri Nusa Satu Properti Tbk.,Properties & Real Estate,False
HRME,Menteng Heritage Realty Tbk.,Consumer Cyclicals,True
POSA,Bliss Properti Indonesia Tbk.,Properties & Real Estate,False
JAST,Jasnita Telekomindo Tbk.,Infrastructures,True
FITT,Hotel Fitra International Tbk.,Consumer Cyclicals,True
BOLA,Bali Bintang Sejahtera Tbk.,Consumer Cyclicals,True
CCSI,Communication Cable Systems In,Industrials,True
SFAN,Surya Fajar Capital Tbk.,Financials,False
POLU,Golden Flower Tbk.,Consumer Cyclicals,True
KJEN,Krida Jaringan Nusantara Tbk.,Transportation & Logistic,True
KAYU,Darmi Bersaudara Tbk.,Basic Materials,False
ITIC,Indonesian Tobacco Tbk.,Consumer Non-Cyclicals,False
PAMG,Bima Sakti Pertiwi Tbk.,Properties & Real Estate,True
IPTV,MNC Vision Networks Tbk.,Consumer Cyclicals,True
BLUE,Berkah Prima Perkasa Tbk.,Industrials,True
ENVY,Envy Technologies Indonesia Tb,Technology,False
EAST,Eastparc Hotel Tbk.,Consumer Cyclicals,True
LIFE,MSIG Life Insurance Indonesia ,Financials,False
FUJI,Fuji Finance Indonesia Tbk.,Financials,False
KOTA,DMS Propertindo Tbk.,Consumer Cyclicals,True
INOV,Inocycle Technology Group Tbk.,Consumer Cyclicals,False
ARKA,Arkha Jayanti Persada Tbk.,Industrials,False
SMKL,Satyamitra Kemas Lestari Tbk.,Basic Materials,True
HDIT,Hensel Davest Indonesia Tbk.,Technology,True
KEEN,Kencana Energi Lestari Tbk.,Infrastructures,True
BAPI,Bhakti Agung Propertindo Tbk.,Properties & Real Estate,True
TFAS,Telefast Indonesia Tbk.,Technology,True
GGRP,Gunung Raja Paksi Tbk.,Basic Materials,True
OPMS,Optima Prima Metal Sinergi Tbk,Basic Materials,False
NZIA,Nusantara Almazia Tbk.,Properties & Real Estate,True
SLIS,Gaya Abadi Sempurna Tbk.,Consumer Cyclicals,True
PURE,Trinitan Metals and Minerals T,Basic Materials,False
IRRA,Itama Ranoraya Tbk.,Healthcare,True
DMMX,Digital Mediatama Maxima Tbk.,Technology,True
SINI,Singaraja Putra Tbk.,Industrials,False
WOWS,Ginting Jaya Energi Tbk.,Energy,True
ESIP,Sinergi Inti Plastindo Tbk.,Basic Materials,True
TEBE,Dana Brata Luhur Tbk.,Energy,True
KEJU,Mulia Boga Raya Tbk.,Consumer Non-Cyclicals,True
PSGO,Palma Serasih Tbk.,Consumer Non-Cyclicals,True
AGAR,Asia Sejahtera Mina Tbk.,Consumer Non-Cyclicals,True
IFSH,Ifishdeco Tbk.,Basic Materials,True
REAL,Repower Asia Indonesia Tbk.,Properties & Real Estate,True
IFII,Indonesia Fibreboard Industry ,Basic Materials,True
PMJS,Putra Mandiri Jembar Tbk.,Consumer Cyclicals,True
UCID,Uni-Charm Indonesia Tbk.,Consumer Non-Cyclicals,True
GLVA,Galva Technologies Tbk.,Technology,True
PGJO,Bahtera Bumi Raya Tbk.,Technology,False
AMAR,Bank Amar Indonesia Tbk.,Financials,False
CSRA,Cisadane Sawit Raya Tbk.,Consumer Non-Cyclicals,True
INDO,Royalindo Investa Wijaya Tbk.,Properties & Real Estate,False
AMOR,Ashmore Asset Management Indon,Financials,False
TRIN,Perintis Triniti Properti Tbk.,Properties & Real Estate,False
DMND,Diamond Food Indonesia Tbk.,Consumer Non-Cyclicals,True
PURA,Putra Rajawali Kencana Tbk.,Transportation & Logistic,True
PTPW,Pratama Widya Tbk.,Infrastructures,True
TAMA,Lancartama Sejati Tbk.,Infrastructures,True
IKAN,Era Mandiri Cemerlang Tbk.,Consumer Non-Cyclicals,True
SAMF,Saraswanti Anugerah Makmur Tbk,Basic Materials,True
SBAT,Sejahtera Bintang Abadi Textil,Consumer Cyclicals,False
KBAG,Karya Bersama Anugerah Tbk.,Properties & Real Estate,True
CBMF,Cahaya Bintang Medan Tbk.,Consumer Cyclicals,False
RONY,Aracord Nusantara Group Tbk.,Infrastructures,True
CSMI,Cipta Selera Murni Tbk.,Consumer Cyclicals,True
BBSS,Bumi Benowo Sukses Sejahtera T,Properties & Real Estate,True
BHAT,Bhakti Multi Artha Tbk.,Financials,False
CASH,Cashlez Worldwide Indonesia Tb,Technology,False
TECH,Indosterling Technomedia Tbk.,Technology,False
EPAC,Megalestari Epack Sentosaraya ,Basic Materials,True
UANG,Pakuan Tbk.,Properties & Real Estate,True
PGUN,Pradiksi Gunatama Tbk.,Consumer Non-Cyclicals,True
SOFA,Solusi Environment Asia Tbk.,Consumer Cyclicals,False
PPGL,Prima Globalindo Logistik Tbk.,Transportation & Logistic,False
TOYS,Sunindo Adipersada Tbk.,Consumer Cyclicals,False
SGER,Sumber Global Energy Tbk.,Energy,True
TRJA,Transkon Jaya Tbk.,Transportation & Logistic,True
PNGO,AEP Pinago Plantations Tbk.,Consumer Non-Cyclicals,True
SCNP,Selaras Citra Nusantara Perkas,Consumer Cyclicals,True
BBSI,Krom Bank Indonesia Tbk.,Financials,False
KMDS,Kurniamitra Duta Sentosa Tbk.,Consumer Non-Cyclicals,True
PURI,Puri Global Sukses Tbk.,Properties & Real Estate,True
SOHO,Soho Global Health Tbk.,Healthcare,True
HOMI,Grand House Mulia Tbk.,Properties & Real Estate,True
ROCK,Rockfields Properti Indonesia ,Properties & Real Estate,True
ENZO,Morenzo Abadi Perkasa Tbk.,Consumer Non-Cyclicals,False
PLAN,Planet Properindo Jaya Tbk.,Consumer Cyclicals,False
PTDU,Djasa Ubersakti Tbk.,Infrastructures,False
ATAP,Trimitra Prawara Goldland Tbk.,Properties & Real Estate,True
VICI,Victoria Care Indonesia Tbk.,Consumer Non-Cyclicals,True
PMMP,Panca Mitra Multiperdana Tbk.,Consumer Non-Cyclicals,False
BANK,Bank Aladin Syariah Tbk.,Financials,True
WMUU,Widodo Makmur Unggas Tbk.,Consumer Non-Cyclicals,True
EDGE,Indointernet Tbk.,Technology,True
UNIQ,Ulima Nitra Tbk.,Energy,True
BEBS,Berkah Beton Sadaya Tbk.,Basic Materials,False
SNLK,Sunter Lakeside Hotel Tbk.,Consumer Cyclicals,True
ZYRX,Zyrexindo Mandiri Buana Tbk.,Technology,True
LFLO,Imago Mulia Persada Tbk.,Consumer Cyclicals,False
FIMP,Fimperkasa Utama Tbk.,Infrastructures,False
TAPG,Triputra Agro Persada Tbk.,Consumer Non-Cyclicals,True
NPGF,Nusa Palapa Gemilang Tbk.,Basic Materials,True
LUCY,Lima Dua Lima Tiga Tbk.,Consumer Cyclicals,False
ADCP,Adhi Commuter Properti Tbk.,Properties & Real Estate,True
HOPE,Harapan Duta Pertiwi Tbk.,Industrials,True
MGLV,NexAI Digital Infrastruktur Tb,Consumer Cyclicals,False
TRUE,Triniti Dinamik Tbk.,Properties & Real Estate,True
LABA,Green Power Group Tbk.,Industrials,True
ARCI,Archi Indonesia Tbk.,Basic Materials,True
IPAC,Era Graharealty Tbk.,Properties & Real Estate,False
MASB,Bank Multiarta Sentosa Tbk.,Financials,False
BMHS,Bundamedik Tbk.,Healthcare,True
FLMC,Falmaco Nonwoven Industri Tbk.,Consumer Non-Cyclicals,False
NICL,PAM Mineral Tbk.,Basic Materials,True
UVCR,Trimegah Karya Pratama Tbk.,Technology,True
BUKA,Bukalapak.com Tbk.,Technology,False
HAIS,Hasnur Internasional Shipping ,Transportation & Logistic,True
OILS,Indo Oil Perkasa Tbk.,Consumer Non-Cyclicals,True
GPSO,Geoprima Solusi Tbk.,Industrials,True
MCOL,Prima Andalan Mandiri Tbk.,Energy,True
RSGK,Kedoya Adyaraya Tbk.,Healthcare,True
RUNS,Global Sukses Solusi Tbk.,Technology,False
SBMA,Surya Biru Murni Acetylene Tbk,Basic Materials,True
CMNT,Cemindo Gemilang Tbk.,Basic Materials,False
GTSI,GTS Internasional Tbk.,Energy,True
IDEA,Idea Indonesia Akademi Tbk.,Consumer Cyclicals,False
KUAS,Ace Oldfields Tbk.,Industrials,True
BOBA,Formosa Ingredient Factory Tbk,Consumer Non-Cyclicals,True
MTEL,Dayamitra Telekomunikasi Tbk.,Infrastructures,True
DEPO,Caturkarda Depo Bangunan Tbk.,Consumer Cyclicals,True
BINO,Perma Plasindo Tbk.,Industrials,True
CMRY,Cisarua Mountain Dairy Tbk.,Consumer Non-Cyclicals,True
WGSH,Wira Global Solusi Tbk.,Technology,False
TAYS,Jaya Swarasa Agung Tbk.,Consumer Non-Cyclicals,False
ADMR,Alamtri Minerals Indonesia Tbk,Energy,True
SEMA,Semacom Integrated Tbk.,Energy,True
ASLC,Autopedia Sukses Lestari Tbk.,Consumer Cyclicals,True
NETV,MDTV Media Technologies Tbk.,Consumer Cyclicals,True
BAUT,Mitra Angkasa Sejahtera Tbk.,Consumer Cyclicals,True
ENAK,Champ Resto Indonesia Tbk.,Consumer Cyclicals,True
NTBK,Nusatama Berkah Tbk.,Industrials,True
SMKM,Sumber Mas Konstruksi Tbk.,Infrastructures,False
STAA,Sumber Tani Agung Resources Tb,Consumer Non-Cyclicals,True
NANO,Nanotech Indonesia Global Tbk.,Consumer Non-Cyclicals,False
BIKE,Sepeda Bersama Indonesia Tbk.,Consumer Cyclicals,True
WIRG,WIR ASIA Tbk.,Technology,True
SICO,Sigma Energy Compressindo Tbk.,Energy,True
GOTO,GoTo Gojek Tokopedia Tbk.,Technology,False
TLDN,Teladan Prima Agro Tbk.,Consumer Non-Cyclicals,True
MTMH,Murni Sadar Tbk.,Healthcare,True
WINR,Winner Nusantara Jaya Tbk.,Properties & Real Estate,True
IBOS,Indo Boga Sukses Tbk.,Consumer Non-Cyclicals,False
OLIV,Atlas Nexus Group Tbk.,Consumer Cyclicals,False
ASHA,Cilacap Samudera Fishing Indus,Consumer Non-Cyclicals,True
SWID,Saraswanti Indoland Developmen,Consumer Cyclicals,True
TRGU,Cerestar Indonesia Tbk.,Consumer Non-Cyclicals,False
ARKO,Arkora Hydro Tbk.,Infrastructures,False
CHEM,Chemstar Indonesia Tbk.,Basic Materials,True
DEWI,Dewi Shri Farmindo Tbk.,Consumer Non-Cyclicals,True
AXIO,Tera Data Indonusa Tbk.,Technology,True
KRYA,Bangun Karya Perkasa Jaya Tbk.,Infrastructures,True
HATM,Habco Trans Maritima Tbk.,Transportation & Logistic,True
RCCC,Utama Radar Cahaya Tbk.,Transportation & Logistic,False
GULA,Aman Agrindo Tbk.,Consumer Non-Cyclicals,True
JARR,Jhonlin Agro Raya Tbk.,Consumer Non-Cyclicals,True
AMMS,Agung Menjangan Mas Tbk.,Consumer Non-Cyclicals,False
RAFI,Sari Kreasi Boga Tbk.,Consumer Cyclicals,True
KKES,Kusuma Kemindo Sentosa Tbk.,Basic Materials,True
ELPI,Pelayaran Nasional Ekalya Purn,Transportation & Logistic,True
EURO,Estee Gold Feet Tbk.,Consumer Non-Cyclicals,False
KLIN,Klinko Karya Imaji Tbk.,Consumer Cyclicals,False
TOOL,Rohartindo Nusantara Luas Tbk.,Consumer Cyclicals,True
BUAH,Segar Kumala Indonesia Tbk.,Consumer Non-Cyclicals,True
CRAB,Toba Surimi Industries Tbk.,Consumer Non-Cyclicals,True
MEDS,Hetzer Medical Indonesia Tbk.,Healthcare,True
COAL,Black Diamond Resources Tbk.,Energy,True
PRAY,Famon Awal Bros Sedaya Tbk.,Healthcare,True
CBUT,Citra Borneo Utama Tbk.,Consumer Non-Cyclicals,False
BELI,Global Digital Niaga Tbk.,Technology,True
MKTR,Menthobi Karyatama Raya Tbk.,Consumer Non-Cyclicals,True
OMED,Jayamas Medica Industri Tbk.,Healthcare,True
BSBK,Wulandari Bangun Laksana Tbk.,Properties & Real Estate,True
PDPP,Primadaya Plastisindo Tbk.,Basic Materials,True
KDTN,Puri Sentul Permai Tbk.,Consumer Cyclicals,True
ZATA,Bersama Zatta Jaya Tbk.,Consumer Cyclicals,True
NINE,Techno9 Indonesia Tbk.,Technology,False
MMIX,Multi Medika Internasional Tbk,Healthcare,True
PADA,Personel Alih Daya Tbk.,Industrials,True
ISAP,Isra Presisi Indonesia Tbk.,Consumer Cyclicals,False
VTNY,Venteny Fortuna International ,Financials,False
SOUL,Mitra Tirta Buwana Tbk.,Consumer Non-Cyclicals,False
ELIT,Data Sinergitama Jaya Tbk.,Technology,True
BEER,Jobubu Jarum Minahasa Tbk.,Consumer Non-Cyclicals,False
CBPE,Citra Buana Prasida Tbk.,Properties & Real Estate,True
SUNI,Sunindo Pratama Tbk.,Energy,True
CBRE,Cakra Buana Resources Energi T,Energy,True
WINE,Hatten Bali Tbk.,Consumer Non-Cyclicals,False
BMBL,Lavender Bina Cendikia Tbk.,Consumer Cyclicals,False
PEVE,Penta Valent Tbk.,Healthcare,True
LAJU,Jasa Berdikari Logistics Tbk.,Transportation & Logistic,True
FWCT,Wijaya Cahaya Timber Tbk.,Basic Materials,True
NAYZ,Hassana Boga Sejahtera Tbk.,Consumer Non-Cyclicals,False
IRSX,Folago Global Nusantara Tbk.,Technology,True
PACK,Abadi Nusantara Hijau Investam,Basic Materials,False
VAST,Vastland Indonesia Tbk.,Properties & Real Estate,True
CHIP,Pelita Teknologi Global Tbk.,Technology,False
HALO,Haloni Jane Tbk.,Healthcare,True
KING,Hoffmen Cleanindo Tbk.,Industrials,False
PGEO,Pertamina Geothermal Energy Tb,Infrastructures,True
FUTR,Futura Energi Global Tbk.,Consumer Cyclicals,True
HILL,Hillcon Tbk.,Energy,False
BDKR,Berdikari Pondasi Perkasa Tbk.,Infrastructures,True
PTMP,Mitra Pack Tbk.,Industrials,True
SAGE,Saptausaha Gemilangindah Tbk.,Properties & Real Estate,True
TRON,Teknologi Karya Digital Nusa T,Technology,True
CUAN,Petrindo Jaya Kreasi Tbk.,Energy,False
NSSS,Nusantara Sawit Sejahtera Tbk.,Consumer Non-Cyclicals,True
GTRA,Grahaprima Suksesmandiri Tbk.,Transportation & Logistic,True
HAJJ,Arsy Buana Travelindo Tbk.,Consumer Cyclicals,False
JATI,Informasi Teknologi Indonesia ,Technology,True
TYRE,King Tire Indonesia Tbk.,Consumer Cyclicals,True
MPXL,MPX Logistics International Tb,Transportation & Logistic,False
SMIL,Sarana Mitra Luas Tbk.,Industrials,True
KLAS,Pelayaran Kurnia Lautan Semest,Transportation & Logistic,True
MAXI,Maxindo Karya Anugerah Tbk.,Consumer Non-Cyclicals,True
VKTR,VKTR Teknologi Mobilitas Tbk.,Consumer Cyclicals,True
RELF,Graha Mitra Asia Tbk.,Properties & Real Estate,False
AMMN,Amman Mineral Internasional Tb,Basic Materials,False
CRSN,Carsurin Tbk.,Industrials,True
GRPM,Graha Prima Mentari Tbk.,Consumer Non-Cyclicals,False
WIDI,Widiant Jaya Krenindo Tbk.,Industrials,False
TGUK,Platinum Wahab Nusantara Tbk.,Consumer Non-Cyclicals,True
INET,Sinergi Inti Andalan Prima Tbk,Infrastructures,True
MAHA,Mandiri Herindo Adiperkasa Tbk,Energy,True
RMKO,Royaltama Mulia Kontraktorindo,Energy,True
CNMA,Nusantara Sejahtera Raya Tbk.,Consumer Cyclicals,True
FOLK,Multi Garam Utama Tbk.,Industrials,True
HBAT,Minahasa Membangun Hebat Tbk.,Properties & Real Estate,False
GRIA,Ingria Pratama Capitalindo Tbk,Properties & Real Estate,True
PPRI,Paperocks Indonesia Tbk.,Basic Materials,True
ERAL,Sinar Eka Selaras Tbk.,Consumer Cyclicals,True
CYBR,ITSEC Asia Tbk.,Technology,True
MUTU,Mutuagung Lestari Tbk.,Industrials,True
LMAX,Lupromax Pelumas Indonesia Tbk,Consumer Cyclicals,False
HUMI,Humpuss Maritim Internasional ,Energy,True
MSIE,Multisarana Intan Eduka Tbk.,Properties & Real Estate,False
RSCH,Charlie Hospital Semarang Tbk.,Healthcare,True
BABY,Multitrend Indo Tbk.,Consumer Cyclicals,True
AEGS,Anugerah Spareparts Sejahtera ,Consumer Cyclicals,False
IOTF,Sumber Sinergi Makmur Tbk.,Technology,True
KOCI,Kokoh Exa Nusantara Tbk.,Properties & Real Estate,True
PTPS,Pulau Subur Tbk.,Consumer Non-Cyclicals,True
BREN,Barito Renewables Energy Tbk.,Infrastructures,False
STRK,Lovina Beach Brewery Tbk.,Consumer Non-Cyclicals,False
KOKA,Koka Indonesia Tbk.,Infrastructures,True
LOPI,Logisticsplus International Tb,Transportation & Logistic,False
UDNG,Agro Bahari Nusantara Tbk.,Consumer Non-Cyclicals,False
RGAS,Kian Santang Muliatama Tbk.,Energy,True
MSTI,Mastersystem Infotama Tbk.,Technology,True
IKPM,Ikapharmindo Putramas Tbk.,Healthcare,True
AYAM,Janu Putra Sejahtera Tbk.,Consumer Non-Cyclicals,True
SURI,Maja Agung Latexindo Tbk.,Healthcare,True
ASLI,Asri Karya Lestari Tbk.,Infrastructures,True
GRPH,Griptha Putra Persada Tbk.,Consumer Cyclicals,True
SMGA,Sumber Mineral Global Abadi Tb,Basic Materials,True
UNTD,Terang Dunia Internusa Tbk.,Consumer Cyclicals,False
TOSK,Topindo Solusi Komunika Tbk.,Technology,True
MPIX,Mitra Pedagang Indonesia Tbk.,Technology,True
ALII,Ancara Logistics Indonesia Tbk,Energy,False
MKAP,Multikarya Asia Pasifik Raya T,Energy,True
MEJA,Harta Djaya Karya Tbk.,Consumer Cyclicals,False
LIVE,Homeco Victoria Makmur Tbk.,Consumer Cyclicals,True
HYGN,Ecocare Indo Pasifik Tbk.,Industrials,True
BAIK,Bersama Mencapai Puncak Tbk.,Consumer Cyclicals,True
VISI,Satu Visi Putra Tbk.,Industrials,True
AREA,Dunia Virtual Online Tbk.,Technology,True
MHKI,Multi Hanna Kreasindo Tbk.,Industrials,True
ATLA,Atlantis Subsea Indonesia Tbk.,Energy,True
DATA,Remala Abadi Tbk.,Infrastructures,True
SOLA,Xolare RCR Energy Tbk.,Basic Materials,True
BATR,Benteng Api Technic Tbk.,Basic Materials,True
SPRE,Soraya Berjaya Indonesia Tbk.,Consumer Cyclicals,False
PART,Cipta Perdana Lancar Tbk.,Consumer Cyclicals,True
GOLF,Intra Golflink Resorts Tbk.,Consumer Cyclicals,True
ISEA,Indo American Seafoods Tbk.,Consumer Non-Cyclicals,False
BLES,Superior Prima Sukses Tbk.,Basic Materials,True
GUNA,Gunanusa Eramandiri Tbk.,Consumer Non-Cyclicals,True
LABS,UBC Medical Indonesia Tbk.,Healthcare,True
DOSS,Global Sukses Digital Tbk.,Consumer Cyclicals,True
NEST,Esta Indonesia Tbk.,Consumer Non-Cyclicals,True
PTMR,Master Print Tbk.,Basic Materials,True
VERN,Verona Indah Pictures Tbk.,Consumer Cyclicals,True
DAAZ,Daaz Bara Lestari Tbk.,Basic Materials,True
BOAT,Newport Marine Services Tbk.,Energy,True
NAIK,Adiwarna Anugerah Abadi Tbk.,Industrials,True
AADI,Adaro Andalan Indonesia Tbk.,Energy,True
MDIY,Daya Intiguna Yasa Tbk.,Consumer Cyclicals,True
KSIX,Kentanix Supra International T,Properties & Real Estate,True
RATU,Raharja Energi Cepu Tbk.,Energy,True
YOII,Asuransi Digital Bersama Tbk.,Financials,False
HGII,Hero Global Investment Tbk.,Infrastructures,True
BRRC,Raja Roti Cemerlang Tbk.,Consumer Non-Cyclicals,True
DGWG,Delta Giri Wacana Tbk.,Basic Materials,True
CBDK,Bangun Kosambi Sukses Tbk.,Properties & Real Estate,True
OBAT,Brigit Biofarmaka Teknologi Tb,Healthcare,True
MINE,Sinar Terang Mandiri Tbk.,Basic Materials,True
ASPR,Asia Pramulia Tbk.,Basic Materials,True
PSAT,Pancaran Samudera Transport Tb,Energy,True
